address,area,baths,beds,building type,latitude,longitude,neighborhood,price
393 West 49th Street #5CC,814.0,1.0,1.0,Condo,40.762832,-73.988952,Hell's Kitchen,1300000.0
150 East 27 #2E,700.0,1.0,1.0,Co-op,40.74140167,-73.98220062,Kips Bay,665000.0
40 Broad Street #PH5A,3500.0,2.5,2.0,Condo,40.70600128,-74.01180267,Financial District,8995000.0
50 West 15th Street #9B,1229.0,2.0,2.0,Condo,40.73740005,-73.99549866,Flatiron,2500000.0
415 East 54th Street #18M,2250.0,3.5,3.0,Condo,40.756135,-73.962975,Sutton Place,2695000.0
404 East 79th Street #18E,700.0,1.0,1.0,Condo,40.77190018,-73.95249939,Upper East Side,1149000.0
126 West 22nd Street #7S,2160.0,2.0,2.0,Condo,40.74250031,-73.99459839,Chelsea,3575000.0
400 East 56th Street #20C,940.0,1.5,1.0,Co-op,40.757255,-73.962905,Sutton Place,1175000.0
200 East 57th Street #15C,1475.0,2.0,2.0,Co-op,40.75970078,-73.9673996,Sutton Place,1750000.0
146 West 57th Street #66B,1463.0,2.5,2.0,Condo,40.76470184,-73.97930145,Midtown,4250000.0
120 East 36th Street #8G,650.0,1.0,1.0,Co-op,40.747772,-73.979479,Murray Hill,742500.0
12 East 96th Street,17700.0,17.0,14.0,Townhouse,40.78730011,-73.95510101,Carnegie Hill,19500000.0
120 East 29th Street #3B,1415.0,2.0,2.0,Condo,40.74330139,-73.98269653,NoMad,2480000.0
1399 Park Avenue #11B,1031.0,2.0,2.0,Condo,40.791455,-73.948642,East Harlem,1155000.0
1399 Park Avenue #14A,884.0,2.0,2.0,Condo,40.791455,-73.948642,East Harlem,1235000.0
120 Riverside Boulevard #PH4J,2460.0,4.0,4.0,Condo,40.77640152,-73.9890976,Lincoln Square,5200000.0
40 Broad Street #14B,859.0,1.5,1.0,Condo,40.70600128,-74.01180267,Financial District,1055000.0
220 East 67th Street #3E,900.0,1.0,1.0,Co-op,40.76599884,-73.96209717,Lenox Hill,840000.0
1 Morton Square #TH6,3662.0,4.5,4.0,Condo,40.73089981,-74.00980377,West Village,7975000.0
130 Water Street #4A,735.0,1.0,1.0,Condo,40.70569992,-74.00730133,Financial District,799995.0
250 West 82nd Street #32,2175.0,2.5,4.0,Co-op,40.78580093,-73.97920227,Upper West Side,2995000.0
385 First Avenue #8H,748.0,1.0,1.0,Condo,40.736787,-73.979028,Gramercy Park,1070000.0
212 East 47th Street #20B,710.0,1.0,1.0,Condo,40.75329971,-73.97170258,Turtle Bay,980000.0
635 West 42nd Street #10D,680.0,1.0,1.0,Condo,40.76200104,-73.99980164,Hell's Kitchen,1010000.0
158 Mercer Street #4B,4263.0,3.5,4.0,Condo,40.72489929,-73.99759674,Soho,8500000.0
248 East 31st Street #1D,1957.0,2.5,3.0,Condo,40.74290085,-73.97789764,Kips Bay,2000000.0
55 North Moore Street #1R,2500.0,3.0,2.0,Co-op,40.72019958,-74.00920105,Tribeca,3950000.0
345 East 93rd Street #11J,750.0,1.0,1.0,Co-op,40.78179932,-73.94629669,Yorkville,599500.0
505 Greenwich Street #9E,1335.0,2.0,2.0,Condo,40.7256012,-74.0089035,Hudson Square,2595000.0
130 East 18th Street #11G,650.0,1.0,1.0,Co-op,40.73609924,-73.98670197,Gramercy Park,867000.0
100 Barrow Street #7B,4447.0,4.5,4.0,Condop,40.73199844,-74.00749969,West Village,13359990.0
39 East 29th Street #26D,826.0,1.0,1.0,Condo,40.74440002,-73.98410034,NoMad,1850000.0
111 Central Park North #16C,1422.0,2.5,2.0,Condo,40.79880142,-73.95290375,South Harlem,3300000.0
80 East End Avenue #11B,1200.0,2.0,2.0,Co-op,40.77330017,-73.9464035,Yorkville,1275000.0
40 W 116 #B1006,1099.0,1.5,1.5,Condo,40.80099869,-73.94830322,South Harlem,1199000.0
16 West 40th Street #21A,1391.0,2.5,2.0,Condo,40.752443,-73.982435,Midtown South,4120000.0
325 West 52nd Street #2B,1100.0,2.0,2.0,Co-op,40.764112,-73.986277,Hell's Kitchen,1100000.0
515 East 79th Street #10C,1000.0,2.0,2.0,Co-op,40.77099991,-73.94879913,Yorkville,1150000.0
41 Bond Street #6,2627.0,3.5,3.0,Condo,40.72589874,-73.99320221,Noho,8800000.0
101 Leonard Street #9E,1973.0,3.0,3.0,Condo,40.71689987,-74.00379944,Tribeca,3395000.0
15 William Street #8A,1325.0,2.0,2.0,Condo,40.70539856,-74.01039886,Financial District,1580000.0
15 William Street #28A,1325.0,2.0,2.0,Condo,40.70539856,-74.01039886,Financial District,1975000.0
127 East 30th Street #8D,969.0,2.0,2.0,Condo,40.74430084,-73.98190308,Midtown South,1379000.0
12 West 72nd Street #4BC,1200.0,2.0,2.0,Co-op,40.77640152,-73.97709656,Lincoln Square,1650000.0
110 Central Park South #17C,1039.0,1.5,1.0,Condop,40.76570129,-73.97709656,Central Park South,1700000.0
100 Riverside Boulevard #11H,1058.0,2.0,2.0,Condo,40.77590179,-73.98860168,Lincoln Square,1930000.0
520 West 28th Street #32,4460.0,4.5,4.0,Condo,40.751075,-74.002503,West Chelsea,25000000.0
565 Broome Street #N20A,2036.0,2.5,2.0,Condo,40.72399902,-74.00579834,Hudson Square,5760000.0
50 West 29th Street #11E,2000.0,1.5,2.0,Co-op,40.74639893,-73.98960114,NoMad,2650000.0
333 East 34th Street #11N,725.0,1.0,1.0,Condo,40.74440002,-73.97419739,Murray Hill,855000.0
157 East 72nd Street #3D,1000.0,1.0,2.0,Condo,40.770228,-73.961144,Upper East Side,1395000.0
181 East 73rd Street #14G,950.0,1.0,2.0,Co-op,40.770722,-73.96029,Upper East Side,975000.0
250 Manhattan Avenue #1C,1013.0,2.0,3.0,Condo,40.801436,-73.959112,South Harlem,1175000.0
16 West 40th Street #25C,1329.0,2.5,2.0,Condo,40.752443,-73.982435,Midtown South,3740000.0
